pair_id,source_id,genre,dim_target,perturbation,magnitude,score_H,score_T,score_R,score_S,score_scs,score_clap_htsat,score_cbase
classical_09::time_stretch::-10pct,classical_09,classical,R,time_stretch,-10.0,0.995723,0.889188,0.863127,0.777369,0.739009,0.991768,0.856110
classical_09::time_stretch::-5pct,classical_09,classical,R,time_stretch,-5.0,0.998329,0.892037,0.810619,0.801823,0.776002,0.994920,0.878669
classical_09::time_stretch::+5pct,classical_09,classical,R,time_stretch,5.0,0.999145,0.897279,0.883333,0.824790,0.797415,0.996045,0.891213
classical_09::time_stretch::+10pct,classical_09,classical,R,time_stretch,10.0,0.998595,0.891376,0.860268,0.788904,0.738687,0.994746,0.857209
classical_09::time_stretch::+20pct,classical_09,classical,R,time_stretch,20.0,0.995937,0.855297,0.832433,0.808019,0.679452,0.990694,0.820444
classical_09::lowpass::lp8000,classical_09,classical,T,lowpass,8000.0,1.000000,0.849612,0.999888,0.781847,0.998459,0.957994,0.978017
classical_09::lowpass::lp4000,classical_09,classical,T,lowpass,4000.0,0.999999,0.586038,0.988682,0.815542,0.988100,0.929768,0.958491
classical_09::lowpass::lp2000,classical_09,classical,T,lowpass,2000.0,0.999940,0.479378,0.987621,0.731210,0.981565,0.922207,0.951423
classical_09::distortion::drv4,classical_09,classical,T,distortion,4.0,0.999633,0.807796,0.999539,0.695301,0.982541,0.989009,0.985770
classical_09::distortion::drv12,classical_09,classical,T,distortion,12.0,0.996819,0.633971,0.998562,0.655388,0.943852,0.924111,0.933930
classical_09::distortion::drv32,classical_09,classical,T,distortion,32.0,0.991088,0.528820,0.996440,0.659636,0.919866,0.847908,0.883155
classical_09::style_swap::swap_cross,classical_09,classical,S,style_swap,nan,0.897722,0.377306,0.883131,0.453710,0.557655,0.619882,0.587946
classical_09::style_swap::swap_same,classical_09,classical,S,style_swap,nan,0.818171,0.530727,0.816501,0.532988,0.717915,0.910806,0.808629
classical_10::control::ctrl,classical_10,classical,control,control,0.0,1.000000,1.000000,1.000000,0.847845,1.000000,1.000000,1.000000
classical_10::pitch_shift::-4st,classical_10,classical,H,pitch_shift,-4.0,0.719316,0.613257,0.996571,0.712668,0.947538,0.992207,0.969615
classical_10::pitch_shift::-2st,classical_10,classical,H,pitch_shift,-2.0,0.685240,0.751635,0.999044,0.717236,0.975544,0.992242,0.983858
classical_10::pitch_shift::-1st,classical_10,classical,H,pitch_shift,-1.0,0.599660,0.837629,0.999692,0.722060,0.985912,0.988605,0.987257
