pair_id,musecp_key,musecp_chroma_mean,musecp_chroma_dtw,musecp_bpm,musecp_beat_f,musecp_beat_ig,musecp_struct_f,musecp_ari,musecp_contour,musecp_motif,musecp_mfcc_skl,musecp_mfcc_cos,musecp_mean12,musecp_mean10
jazz_02::shuffle::shuf_bar,1.000000,0.999795,0.947561,1.000000,0.200000,0.579728,0.955241,0.743496,0.471813,0.428571,0.967776,0.999993,0.754051,0.708105
jazz_02::reverse::rev,1.000000,0.999514,0.928402,0.050716,0.333333,0.517511,0.971853,0.475384,0.361050,0.000000,0.817683,0.999996,0.598615,0.536676
jazz_02::displacement::disp_near,1.000000,0.998011,0.943628,1.000000,0.285714,0.440043,0.969372,0.834031,0.334740,0.285714,0.650569,0.991900,0.702451,0.681569
jazz_02::displacement::disp_far,1.000000,0.997630,0.960238,1.000000,0.266667,0.408326,0.941883,0.646512,0.359850,0.357143,0.567765,0.988574,0.680257,0.664694
jazz_03::control::ctrl,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
jazz_03::shuffle::shuf_beat,1.000000,0.999379,0.960842,1.000000,0.166667,0.641945,1.000000,1.000000,0.394761,0.117647,0.923324,0.999983,0.749548,0.707177
jazz_03::shuffle::shuf_bar,1.000000,0.999865,0.944327,1.000000,0.666667,0.517511,1.000000,1.000000,0.469449,0.411765,0.978271,0.999994,0.816055,0.781455
jazz_03::reverse::rev,1.000000,0.999998,0.932827,1.000000,0.833333,0.579728,0.934467,0.250743,0.366139,0.000000,0.787729,0.999997,0.697801,0.658712
jazz_03::displacement::disp_near,1.000000,0.994454,0.935395,1.000000,0.500000,0.579728,0.946140,0.452769,0.407866,0.117647,0.639731,0.996362,0.688834,0.664400
jazz_03::displacement::disp_far,0.500000,0.982611,0.924694,1.000000,0.545455,0.517511,1.000000,1.000000,0.334440,0.235294,0.675910,0.993905,0.701297,0.676773
jazz_04::control::ctrl,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
